Name,Type,Latitude,Longitude
Altstadt,Sehenswürdigkeit,47.37304358,8.547140275
Uetliberg,Sehenswürdigkeit,47.34959361,8.492063801
Zoo Zürich,Sehenswürdigkeit,47.38717522,8.574519969
Kunsthaus,Sehenswürdigkeit,47.37039654,8.548148869
Bahnhofstrasse,Sehenswürdigkeit,47.37167641,8.538629468
Lindenhofplatz,Sehenswürdigkeit,47.37225824,8.541310034
Museum Rietberg,Sehenswürdigkeit,47.3589941,8.530233397
Grossmünster,Sehenswürdigkeit,47.37014816,8.544047915
Fifa Museum,Sehenswürdigkeit,47.36336071,8.531694088
Fraumünster,Sehenswürdigkeit,47.37210747,8.54369295
Schweizerisches Nationalmuseum,Sehenswürdigkeit,47.37913091,8.540562212
La Fonte,Restaurant,47.40071463,8.586048012
Route twenty-six,Restaurant,47.39066973,8.510178598
Weisses Rössli,Restaurant,47.36206299,8.526198042
Krone,Restaurant,47.38984957,8.484046165
Restaurant Differente,Restaurant,47.38816296,8.539097398
Nihao,Restaurant,47.40246163,8.544617702
Ö,Restaurant,47.40868608,8.546312498
Khujug,Restaurant,47.37986758,8.527265498
Haus zum Rüden,Restaurant,47.37102493,8.543199498
La Pasta,Restaurant,47.37609854,8.54415513
Zürich HB,Mobilität,47.37800927,8.540311565
Flughafen,Mobilität,47.46118155,8.55275032
Universität Zürich,Bildung,47.37438746,8.55104393
ETH,Bildung,47.37653977,8.547636538
